ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,sku_id,weekly,weekly_lower,weekly_upper
2025-06-02,-2.527173487643259,-5.509227014537152,0.6043661121961557,-2.5271735006993787,-2.5271734756551276,0.0,0.0,0.0,0.0,0.0,0.0,-2.527173487643259,P094,,,
2025-06-03,-2.6563730240554184,-5.7778808866131,0.5473207503673628,-2.65637303883349,-2.6563730106763157,0.0,0.0,0.0,0.0,0.0,0.0,-2.6563730240554184,P094,,,
2025-06-04,-2.785572560467578,-6.203642487349529,0.32534949753181547,-2.7855725768198516,-2.7855725455450937,0.0,0.0,0.0,0.0,0.0,0.0,-2.785572560467578,P094,,,
2025-06-05,-2.9147720968797337,-5.858250799806604,0.3036056055387979,-2.9147721157921977,-2.9147720804291306,0.0,0.0,0.0,0.0,0.0,0.0,-2.9147720968797337,P094,,,
2025-03-10,-3.18303,18.00002779613366,18.000027796140742,-3.18303,-3.18303,21.18305779613725,21.18305779613725,21.18305779613725,0.0,0.0,0.0,18.00002779613725,P072,21.18305779613725,21.18305779613725,21.18305779613725
2025-03-16,4.651861764705883,8.000062830526382,8.000062830533066,4.651861764705883,4.651861764705883,3.348201065823698,3.348201065823698,3.348201065823698,0.0,0.0,0.0,8.000062830529581,P072,3.348201065823698,3.348201065823698,3.348201065823698
2025-04-30,62.53781611764706,14.000072671658087,14.000072671664904,62.53781611764706,62.53781611764706,-48.53774344598561,-48.53774344598561,-48.53774344598561,0.0,0.0,0.0,14.00007267166145,P072,-48.53774344598561,-48.53774344598561,-48.53774344598561
2025-05-01,63.824170658823526,23.791594658924165,23.791594658931288,63.824170658823526,63.824170658823526,-40.03257599989581,-40.03257599989581,-40.03257599989581,0.0,0.0,0.0,23.791594658927714,P072,-40.03257599989581,-40.03257599989581,-40.03257599989581
2025-05-02,65.1105252,98.70520070030672,98.70520070031414,65.1105252,65.1105252,33.59467550031029,33.59467550031029,33.59467550031029,0.0,0.0,0.0,98.70520070031029,P072,33.59467550031029,33.59467550031029,33.59467550031029
2025-05-03,66.39687974117646,169.64123849499072,169.64123849499884,66.39687974117646,66.39687974117646,103.24435875381846,103.24435875381846,103.24435875381846,0.0,0.0,0.0,169.64123849499492,P072,103.24435875381846,103.24435875381846,103.24435875381846
2025-05-04,67.68323428235293,71.03143534837702,71.03143534838524,67.68323428235293,67.68323428235293,3.3482010660281,3.3482010660281,3.3482010660281,0.0,0.0,0.0,71.03143534838102,P072,3.3482010660281,3.3482010660281,3.3482010660281
2025-05-05,68.96958882352942,90.1526466196011,90.15264661960978,68.96958882352942,68.96958882352942,21.18305779607602,21.18305779607602,21.18305779607602,0.0,0.0,0.0,90.15264661960543,P072,21.18305779607602,21.18305779607602,21.18305779607602
2025-05-06,70.25594336470589,-2.5440303054331492,-2.544030305424175,70.25594336470589,70.25594336470589,-72.79997367013435,-72.79997367013435,-72.79997367013435,0.0,0.0,0.0,-2.544030305428464,P072,-72.79997367013435,-72.79997367013435,-72.79997367013435
2025-05-07,71.54229790588235,23.004554460051335,23.00455446006065,71.54229790588235,71.54229790588235,-48.53774344582612,-48.53774344582612,-48.53774344582612,0.0,0.0,0.0,23.004554460056227,P072,-48.53774344582612,-48.53774344582612,-48.53774344582612
2025-05-08,72.82865244705883,32.79607644699025,32.79607644699995,72.82865244705883,72.82865244705883,-40.03257600006337,-40.03257600006337,-40.03257600006337,0.0,0.0,0.0,32.79607644699546,P072,-40.03257600006337,-40.03257600006337,-40.03257600006337
2025-05-09,74.1150069882353,107.70968248877688,107.70968248878691,74.1150069882353,74.1150069882353,33.59467550054697,33.59467550054697,33.59467550054697,0.0,0.0,0.0,107.70968248878226,P072,33.59467550054697,33.59467550054697,33.59467550054697
2025-05-10,75.40136152941176,178.64572028307984,178.64572028309163,75.40136152941176,75.40136152941176,103.2443587536734,103.2443587536734,103.2443587536734,0.0,0.0,0.0,178.64572028308515,P072,103.2443587536734,103.2443587536734,103.2443587536734
2025-05-11,76.68771607058822,80.03591713646799,80.03591713648024,76.68771607058822,76.68771607058822,3.3482010658851977,3.3482010658851977,3.3482010658851977,0.0,0.0,0.0,80.03591713647342,P072,3.3482010658851977,3.3482010658851977,3.3482010658851977
2025-05-12,77.9740706117647,99.1571284078006,99.15712840781426,77.9740706117647,77.9740706117647,21.18305779604283,21.18305779604283,21.18305779604283,0.0,0.0,0.0,99.15712840780753,P072,21.18305779604283,21.18305779604283,21.18305779604283
2025-05-13,79.26042515294117,6.459293813773604,6.46317824848785,79.25926748403198,79.26315191874372,-72.79997367025945,-72.79997367025945,-72.79997367025945,0.0,0.0,0.0,6.460451482681719,P072,-72.79997367025945,-72.79997367025945,-72.79997367025945
2025-05-14,80.54677969411763,31.999691913250967,32.01646429554883,80.53743535913226,80.5542077414294,-48.53774344587851,-48.53774344587851,-48.53774344587851,0.0,0.0,0.0,32.00903624823912,P072,-48.53774344587851,-48.53774344587851,-48.53774344587851
2025-05-15,81.83313423529412,41.783643621616704,41.814284667303276,81.81621962182287,81.8468606675117,-40.03257600020536,-40.03257600020536,-40.03257600020536,0.0,0.0,0.0,41.800558235088765,P072,-40.03257600020536,-40.03257600020536,-40.03257600020536
2025-05-16,83.11948877647058,116.69049961245122,116.73387976502563,83.09582411190549,83.13920426447415,33.59467550054826,33.59467550054826,33.59467550054826,0.0,0.0,0.0,116.71416427701884,P072,33.59467550054826,33.59467550054826,33.59467550054826
2025-05-17,84.40584331764705,187.61829992502604,187.67787398073602,84.37394117132351,84.43351522703566,103.24435875370426,103.24435875370426,103.24435875370426,0.0,0.0,0.0,187.65020207135132,P072,103.24435875370426,103.24435875370426,103.24435875370426
2025-05-18,85.69219785882353,88.99600572583189,89.07465908683807,85.64780465992581,85.72645802093429,3.3482010659056316,3.3482010659056316,3.3482010659056316,0.0,0.0,0.0,89.04039892472916,P072,3.3482010659056316,3.3482010659056316,3.3482010659056316
2025-05-19,86.9785524,108.10864753884164,108.19984901133869,86.92558974268498,87.01679121518173,21.18305779615631,21.18305779615631,21.18305779615631,0.0,0.0,0.0,108.1616101961563,P072,21.18305779615631,21.18305779615631,21.18305779615631
2025-05-20,88.26490694117648,15.399348914192501,15.519167312219379,88.19932258418943,88.31914098221961,-72.79997366999649,-72.79997366999649,-72.79997366999649,0.0,0.0,0.0,15.464933271179987,P072,-72.79997366999649,-72.79997366999649,-72.79997366999649
2025-05-21,89.55126148235294,40.92972558567922,41.07732339870015,89.46746903139466,89.61506684442219,-48.53774344571906,-48.53774344571906,-48.53774344571906,0.0,0.0,0.0,41.01351803663388,P072,-48.53774344571906,-48.53774344571906,-48.53774344571906
2025-05-22,90.83761602352942,50.71024036575175,50.877218623756306,90.74281636560441,90.9097946236044,-40.032575999850955,-40.032575999850955,-40.032575999850955,0.0,0.0,0.0,50.805040023678465,P072,-40.032575999850955,-40.032575999850955,-40.032575999850955
2025-05-23,92.12397056470589,125.60974128693371,125.8011625166207,92.01506578638497,92.20648701607456,33.59467550054954,33.59467550054954,33.59467550054954,0.0,0.0,0.0,125.71864606525543,P072,33.59467550054954,33.59467550054954,33.59467550054954
2025-05-24,93.41032510588236,196.5226696669984,196.74636165123295,93.27831091321168,93.50200289744811,103.2443587537857,103.2443587537857,103.2443587537857,0.0,0.0,0.0,196.65468385966807,P072,103.2443587537857,103.2443587537857,103.2443587537857
2025-05-25,94.69667964705883,97.89141992910858,98.1580679608534,94.54321886326034,94.80986689500881,3.3482010658443935,3.3482010658443935,3.3482010658443935,0.0,0.0,0.0,98.04488071290322,P072,3.3482010658443935,3.3482010658443935,3.3482010658443935
2025-05-26,95.9830341882353,116.98929310413301,117.29449641720514,95.80623530797915,96.11143862105101,21.183057796151918,21.183057796151918,21.183057796151918,0.0,0.0,0.0,117.16609198438721,P072,21.183057796151918,21.183057796151918,21.183057796151918
2025-05-27,97.26938872941176,24.28424676232924,24.616699196908744,97.08422043245508,97.41667286703061,-72.79997367012159,-72.79997367012159,-72.79997367012159,0.0,0.0,0.0,24.46941505929017,P072,-72.79997367012159,-72.79997367012159,-72.79997367012159
2025-05-28,98.55574327058824,49.81612517373246,50.18097345914106,98.35386861950477,98.71871690491433,-48.537743445771426,-48.537743445771426,-48.537743445771426,0.0,0.0,0.0,50.01799982481681,P072,-48.537743445771426,-48.537743445771426,-48.537743445771426
2025-05-29,99.8420978117647,59.60943017139544,59.98486974648738,99.64200617138651,100.01744574648225,-40.03257599999294,-40.03257599999294,-40.03257599999294,0.0,0.0,0.0,59.80952181177176,P072,-40.03257599999294,-40.03257599999294,-40.03257599999294
2025-05-30,101.12845235294117,134.49698044980056,134.91311167645117,100.90230494978915,101.31843617643916,33.59467550001323,33.59467550001323,33.59467550001323,0.0,0.0,0.0,134.7231278529544,P072,33.59467550001323,33.59467550001323,33.59467550001323
2025-03-27,16.0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,P092,,,
2025-03-31,2.9999931936,2.9999931936,2.9999931936,2.9999931936,2.9999931936,0.0,0.0,0.0,0.0,0.0,0.0,2.9999931936,P092,,,
2025-04-01,-0.2500085080000005,-0.2500085188236055,-0.2500085032890281,-0.2500085188236055,-0.2500085032890281,0.0,0.0,0.0,0.0,0.0,0.0,-0.2500085080000005,P092,,,
2025-04-02,-3.500010209599999,-3.5000102525309797,-3.5000101777842905,-3.5000102525309797,-3.5000101777842905,0.0,0.0,0.0,0.0,0.0,0.0,-3.500010209599999,P092,,,
2025-04-03,-6.750011911200001,-6.750011998334966,-6.750011836808865,-6.750011998334966,-6.750011836808865,0.0,0.0,0.0,0.0,0.0,0.0,-6.750011911200001,P092,,,
2025-04-04,-10.0000136128,-10.000013756613363,-10.000013474665867,-10.000013756613363,-10.000013474665867,0.0,0.0,0.0,0.0,0.0,0.0,-10.0000136128,P092,,,
2025-04-05,-13.250015314399999,-13.250015514185494,-13.250015111183115,-13.250015514185494,-13.250015111183115,0.0,0.0,0.0,0.0,0.0,0.0,-13.250015314399999,P092,,,
2025-04-06,-16.500017016,-16.500017283904498,-16.50001674631425,-16.500017283904498,-16.50001674631425,0.0,0.0,0.0,0.0,0.0,0.0,-16.500017016,P092,,,
2025-04-07,-19.7500187176,-19.75001904666095,-19.750018370709228,-19.75001904666095,-19.750018370709228,0.0,0.0,0.0,0.0,0.0,0.0,-19.7500187176,P092,,,
2025-04-08,-23.0000204192,-23.000020834065634,-23.00002001033664,-23.000020834065634,-23.00002001033664,0.0,0.0,0.0,0.0,0.0,0.0,-23.0000204192,P092,,,
2025-04-09,-26.250022120799997,-26.250022619456587,-26.250021640896296,-26.250022619456587,-26.250021640896296,0.0,0.0,0.0,0.0,0.0,0.0,-26.250022120799997,P092,,,
2025-04-10,-29.500023822400003,-29.500024417455332,-29.500023246320733,-29.500024417455332,-29.500023246320733,0.0,0.0,0.0,0.0,0.0,0.0,-29.500023822400003,P092,,,
2025-04-11,-32.750025524,-32.750026217822395,-32.75002485348312,-32.750026217822395,-32.75002485348312,0.0,0.0,0.0,0.0,0.0,0.0,-32.750025524,P092,,,
